super_group_ID,super_group_name,ADIT view flags,Description
-----------,-----------,View,--------------
TBL_BEGIN,,,?
-1,Entry summary,YYYYY,Questions about what data exists in the entry.
1,Entry information,YYYYY,General information regarding the entry.
2,Citations,YYYYY,Citations referenced in the entry and the primary citation related to this specific entry.
3,Molecular assembly studied,YYYYY,Complete chemical description of the molecular assembly studied.
4,Experimental descriptions,YYYYY,Experimental details for the samples
5,NMR parameters,YYYYY,The NMR specific spectral parameters and derived information reported in the entry.
6,Kinetic data,YHYHY,Kinetic data reported in the entry.
7,Thermodynamic data,YHYHY,Thermodynamic data reported in the entry.
8,Structure calculation results,YYHHY,Atomic coordinates and related information reported in the entry.
TBL_END,,,?
